"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.898571820E1,-2.559782267E-1,-8.291578293E-1,-7.450380325E-1
3.899371432E1,-1.464321613E-1,-8.556652069E-1,-1.325448990E0
3.900170974E1,-5.237102509E-2,-6.646566391E-1,-1.680977345E0
3.900970424E1,3.040154576E-1,-8.712844849E-1,-1.923375130E0
3.901770144E1,7.006705999E-1,-1.357516766E0,-2.188005924E0
3.902569571E1,4.593772292E-1,-1.115076065E0,-2.339088917E0
3.903369168E1,6.229538918E-1,-1.453021526E0,-2.378853798E0
3.904171795E1,7.020304799E-1,-1.725571632E0,-2.429898024E0
3.904971422E1,5.543168783E-1,-1.729056835E0,-2.497293234E0
3.905770934E1,3.889833689E-1,-1.657234192E0,-2.545988083E0
3.906570453E1,1.451909542E-1,-1.538841248E0,-2.463595629E0
3.907370080E1,-1.002929807E-1,-1.347704887E0,-2.293158531E0
3.908169631E1,-2.921938896E-1,-1.113378525E0,-2.109321594E0
3.908969196E1,-4.488630295E-1,-9.873085022E-1,-1.738233089E0
3.909771793E1,-4.929554462E-1,-9.368734360E-1,-1.431500554E0
3.910571359E1,-4.135779142E-1,-9.245567322E-1,-1.139309168E0
3.911370940E1,-3.766657114E-1,-8.530521393E-1,-9.217619896E-1
3.912170575E1,-4.800878763E-1,-7.589244843E-1,-6.988604069E-1
3.912970025E1,-6.341248751E-1,-4.799308777E-1,-5.183844566E-1
3.913769652E1,-8.528598547E-1,-1.716289520E-1,-3.815283775E-1
